city,state,country,latitude,longitude
Abohar ,PUNJAB,India,30.1452928,74.1993043
Achalpur ,MAHARASHTRA,India,21.257584,77.5086754
Adilabad ,ANDHRA PRADESH,India,19.0809075,79.560344
Adityapur ,JHARKHAND,India,22.7834741,86.1576889
Adoni ,ANDHRA PRADESH,India,15.6322227,77.2728368
Agartala ,TRIPURA,India,23.831457,91.2867777
Agra ,UTTAR PRADESH,India,27.1766701,78.0080745
Ahmadabad ,GUJARAT,India,23.022505,72.5713621
Ahmadnagar ,MAHARASHTRA,India,19.0952075,74.7495916
Aizawl ,MIZORAM,India,23.727107,92.7176389
Ajmer ,RAJASTHAN,India,26.4498954,74.6399163
Akbarpur ,UTTAR PRADESH,India,26.4407468,82.5537514
Akola ,MAHARASHTRA,India,20.7059345,77.0219019
Alandur ,TAMIL NADU,India,12.9974873,80.2006371
Alappuzha ,KERALA,India,9.4980667,76.3388484
Aligarh ,UTTAR PRADESH,India,27.8973944,78.0880129
Allahabad ,UTTAR PRADESH,India,25.4358011,81.846311
Alwar ,RAJASTHAN,India,27.5529907,76.6345735
Ambala ,HARYANA,India,30.3781788,76.7766974
Ambala Sadar ,HARYANA,India,30.3248708,76.8432663
Ambarnath ,MAHARASHTRA,India,19.1825167,73.1926023
Ambattur ,TAMIL NADU,India,13.1143167,80.1480551
Ambikapur ,CHHATTISGARH,India,23.1354921,83.1817856
Ambur ,TAMIL NADU,India,12.7903613,78.7166084
Amravati ,MAHARASHTRA,India,20.9374238,77.7795513
Amreli ,GUJARAT,India,21.6031774,71.2220832
Amritsar ,PUNJAB,India,31.6339793,74.8722642
Amroha ,UTTAR PRADESH,India,28.9043537,78.4673426
Anand ,GUJARAT,India,22.5645175,72.928871
Anantapur ,ANDHRA PRADESH,India,14.6818877,77.6005911
Anantnag ,JAMMU & KASHMIR,India,33.7311255,75.1487007
Arrah ,BIHAR,India,25.5560443,84.6603307
Asansol ,WEST BENGAL,India,23.6739452,86.9523954
Ashoknagar Kalyangarh ,WEST BENGAL,India,22.84039,88.6241351
Aurangabad ,BIHAR,India,24.7457189,84.3804888
Aurangabad ,MAHARASHTRA,India,19.8761653,75.3433139
Avadi ,TAMIL NADU,India,13.1067448,80.0969511
Azamgarh ,UTTAR PRADESH,India,26.0737044,83.1859458
Badlapur ,MAHARASHTRA,India,19.1667854,73.2367896
Bagaha ,BIHAR,India,27.1221959,84.0722375
Bagalkot ,KARNATAKA,India,16.1725355,75.6557206
Bahadurgarh ,HARYANA,India,28.6924464,76.9239727
Baharampur ,WEST BENGAL,India,24.0988265,88.2679264
Bahraich ,UTTAR PRADESH,India,27.7525271,81.4278984
Baidyabati ,WEST BENGAL,India,22.795783,88.3190717
Baleshwar Town ,ORISSA,India,21.4869337,86.9246005
Ballia ,UTTAR PRADESH,India,25.7584381,84.1487319
Bally ,WEST BENGAL,India,22.6500518,88.3423199
Bally City,WEST BENGAL,India,22.6500518,88.3423199
Balurghat ,WEST BENGAL,India,25.2372834,88.7830612
Banda ,UTTAR PRADESH,India,25.4796224,80.3380213
Bankura ,WEST BENGAL,India,23.2324146,87.0786044
Bansberia ,WEST BENGAL,India,22.951904,88.4070629
Banswara ,RAJASTHAN,India,23.5461394,74.4349761
Baran ,RAJASTHAN,India,25.1011438,76.5131637
Baranagar ,WEST BENGAL,India,22.6383016,88.3654386
Barasat ,WEST BENGAL,India,22.7228159,88.480552
Baraut ,UTTAR PRADESH,India,29.0998902,77.2606149
Barddhaman ,WEST BENGAL,India,23.2324214,87.8614793
Bareilly ,UTTAR PRADESH,India,28.3670355,79.4304381
Baripada Town ,ORISSA,India,21.9322338,86.7516942
Barnala ,PUNJAB,India,30.3819446,75.5467979
Barrackpur ,WEST BENGAL,India,22.7674278,88.3883455
Barshi ,MAHARASHTRA,India,18.2333856,75.6941478
Basirhat ,WEST BENGAL,India,22.6574017,88.8671766
Basti ,UTTAR PRADESH,India,26.8176796,82.7633133
Batala ,PUNJAB,India,31.8183238,75.2070644
